,product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,count
1410,8317b177579dd27ff068b83205e2169b,cool,43.0,465.0,1.0,400.0,46
830,62d8daeee0db3a60c234c2d1bfd10651,bed,46.0,113.0,1.0,350.0,46
971,704ef63ad0ac345842ea734060a83db2,bed,55.0,249.0,1.0,850.0,45
267,d2085f7e0f9533605386960fc7e987ec,garden,40.0,207.0,4.0,150.0,45
1590,7f72a8900b3d2fc8fa2635b7836d6e6e,toys,38.0,571.0,1.0,147.0,45
34,036734b5a58d5d4f46b0616ddc047ced,telephony,58.0,751.0,5.0,300.0,45
1572,35ebf08a93899d44e756809e11b14754,electronics,55.0,240.0,1.0,150.0,45
961,e9def91e99c8ecb7c5cef5e31506a056,toys,34.0,867.0,2.0,500.0,45
649,566a4f2c4385f36d15c00dfcaae132d1,electronics,43.0,391.0,1.0,150.0,45
273,a59fb60fddcc72a9878b7ed5cb69d8e4,audio,48.0,424.0,1.0,200.0,45
919,583f158587cdecda3e8bdea694021e39,sport,57.0,1042.0,7.0,800.0,45
515,3b0f7951038b105522c2d566b54421f7,telephony,56.0,341.0,1.0,175.0,45
1203,f819f0c84a64f02d3a5606ca95edd272,gifts,59.0,452.0,1.0,710.0,45
1369,5d6bea33648f018dbb563f3a2fab09f3,decoration,53.0,616.0,1.0,4000.0,44
617,b1acb7e8152c90c9619897753a75c973,beauty,56.0,575.0,1.0,200.0,44
527,3db75f31b76375c502f64d550dcd1166,computer,34.0,1078.0,2.0,200.0,44
1521,3e5201fe0d1ba474d9b90152c83c706c,bed,56.0,255.0,1.0,1800.0,44
1082,7340a3839a1de1e99d149b8cf052a2ec,bed,56.0,536.0,1.0,800.0,44
1158,c6ea63369936552872ae890c82175b4b,bed,58.0,162.0,4.0,2900.0,44
298,7564c1759c04fc0a38f2aa84f7a370ee,construction,59.0,2432.0,3.0,1200.0,44
525,0a4093a4af429dc0a9334300e5c13ae5,beauty,56.0,389.0,1.0,300.0,44
507,d5b703c271f43f9c588a6f512a00f77e,toys,27.0,531.0,4.0,150.0,44
945,63de2743d05ab59d85caa49e49459ac1,beauty,51.0,951.0,1.0,178.0,44
499,3cb39171fd36c50097f2dedbbe0dfe6e,automotive,60.0,3136.0,4.0,100.0,43
1291,9ad75bd7267e5c724cb42c71ac56ca72,bed,60.0,259.0,1.0,1225.0,43
1605,dd0dcee76f9c12fff4bc0eb641d57c7f,electronics,44.0,431.0,1.0,250.0,43
71,173e9fe34bfe97f3a5e6dc57fe897b74,technical,36.0,890.0,1.0,950.0,43
464,57e089e3103f5cda6a4ce23b77399bdb,babies,18.0,1194.0,4.0,650.0,43
48,31a2f42a87890f87d77daebdfabc182e,toys,58.0,419.0,5.0,1700.0,42
1208,a4aa7c1427c31344e5f7cc3d839fe562,pet,52.0,625.0,8.0,2200.0,42
818,2ff995aead9c63a1f37a07b3664ead37,living,45.0,353.0,1.0,7500.0,42
262,b8b426747049f2d3d6e00b486d47dedb,beauty,49.0,819.0,3.0,1250.0,42
1482,f8b624d4e475bb8d1bddf1b65c6a64f6,housewares,46.0,323.0,1.0,2841.0,42
528,dbb4ce89c8ed5fb6fd901e2e51093179,housewares,34.0,545.0,3.0,2200.0,42
1244,349ce46a0e2e20054aa9d80c48af8816,construction,41.0,971.0,1.0,1300.0,42
1532,727a46f0b58a9ef165af9f7ebcfebfa9,sport,33.0,1440.0,3.0,200.0,42
530,82e4ad16521ca131d95e198d507db370,electronics,56.0,343.0,1.0,150.0,42
1431,177d3d5bb9d4d29222a222e3b3554f41,stationery,59.0,241.0,6.0,7550.0,42
308,69455f41626a745aea9ee9164cb9eafd,gifts,41.0,408.0,2.0,501.0,41
1436,7d50930301709838d8e90dcac5cfaa84,sport,59.0,254.0,1.0,1650.0,41
1483,d04bbac48960ecb7ea311b00ca6e1cb7,"industry,",52.0,784.0,4.0,11325.0,41
353,a5341e3f8155dbb3e62323d3ea289729,decoration,50.0,422.0,7.0,2850.0,41
700,73bcea88583002fe12b7399af4ae60da,gifts,42.0,631.0,2.0,459.0,41
895,c20a3f598c16d77249da67e81caa8317,housewares,57.0,529.0,4.0,575.0,41
980,e67307ff0f15ade43fcb6e670be7a74c,beauty,47.0,1474.0,3.0,150.0,41
861,e1da6ab77f4859eb17950e5df1c0f815,pet,56.0,724.0,2.0,7050.0,41
441,027cdd14a677a5834bc67a9789db5021,perfumery,42.0,544.0,1.0,341.0,40
326,aadff88486740e0b0ebe2be6c09476ae,beauty,56.0,390.0,1.0,250.0,40
1136,bdb4be6ce2f7f2b5be0a16088028c7fc,housewares,54.0,851.0,1.0,3100.0,40
580,a298a105818dce6878b787e4af6cff7d,babies,55.0,1158.0,2.0,400.0,40
1172,1ec486885049bbb9b79351d150ed18c4,fashion,36.0,412.0,5.0,100.0,40
1215,a6ad77b15e566298a4e8ee2011ab1255,decoration,45.0,660.0,1.0,3450.0,40
803,50fd2b788dc166edd20512370dac54df,electronics,46.0,2285.0,1.0,150.0,40
139,9d8a0e115e802d845b4ce1eb794d1260,sport,30.0,2299.0,1.0,150.0,40
380,7c4a8bec217df1de0df2b5aaf8175b65,audio,58.0,675.0,2.0,167.0,40
566,65266b2da20d04dbe00c5c2d3bb7859e,stationery,38.0,316.0,4.0,250.0,40
697,fe6a9515d655fa7936b8a7c841039f34,cool,29.0,266.0,3.0,5650.0,40
1074,921d31a1daa51460b7a95ea5f3ab64d5,beauty,40.0,702.0,1.0,210.0,40
109,6803077179d24889430188e03fafd31a,electronics,48.0,287.0,1.0,100.0,40
849,952670bc019a73f0933157ec82ff6e4f,bed,46.0,162.0,5.0,3300.0,40
959,dc404a1496a08f9f5540c8b5d4b92925,toys,46.0,753.0,2.0,1582.0,39
1513,53ea9da485f6aed8a6f03a85831fe021,gifts,33.0,439.0,1.0,346.0,39
359,dc52f0f5d3ec37a93eaf956cde4e5d2c,gifts,60.0,539.0,7.0,400.0,39
480,83b00325c13c44245b2c3a2befa62a0e,babies,56.0,621.0,1.0,10700.0,39
894,f7f59e6186e10983a061ac7bdb3494d6,housewares,59.0,459.0,1.0,3700.0,39
1182,553e0e7590d3116a072507a3635d2877,bed,38.0,735.0,5.0,800.0,39
1547,060c17562f97e5bb60bc0dfa4dd5b3f2,computer,40.0,675.0,1.0,150.0,38
1563,af2d506fb01b724e03591349ad36b67e,babies,55.0,1681.0,2.0,600.0,38
924,1600dcf1cea8c0c83702e07b577ab231,gifts,57.0,181.0,4.0,250.0,38
180,57f2bc497c1a3ebe41ba7a06d78ed159,gifts,55.0,336.0,4.0,250.0,38
958,98d61056e0568ba048e5d78038790e77,automotive,49.0,546.0,1.0,6400.0,38
1375,c211ff3068fcd2f8898192976d8b3a32,bed,58.0,58.0,1.0,200.0,38
717,e5ae72c62ebfa708624f5029d609b160,computer,60.0,367.0,1.0,156.0,38
658,c7b3cf9de7be95b3e09e7a63315685eb,bags,49.0,489.0,2.0,16250.0,38
1236,25c38557cf793876c5abdd5931f922db,babies,58.0,1447.0,5.0,15800.0,38
1559,6109d0cae3bcb57d579bc0fab6e61814,bags,45.0,573.0,1.0,1250.0,37
160,3225c54bb2785c33f49f50398fcdb88c,gifts,47.0,547.0,1.0,269.0,37
373,ca5c923962558430573f83661dbe36d6,pet,59.0,747.0,2.0,1250.0,37
960,10717ff440b2320081989126e858b220,bed,52.0,263.0,1.0,4867.0,37
770,9bb8ca338e5588c361e34eae02e8fad6,beauty,37.0,314.0,1.0,431.0,37
1503,67bd616e1ba0d3d3e8545f3113b0140d,beauty,57.0,3153.0,1.0,300.0,37
712,474bb6b54fc608ca71059a6c4f7ecda3,electronics,43.0,538.0,1.0,150.0,37
876,08a58dc963320d6073623382b9ceb920,computer,56.0,2590.0,5.0,400.0,37
911,216bb0e0cd43ffd832e0973d35e0377e,construction,56.0,1082.0,6.0,200.0,37
25,593236d0ff46b4299b4787fb8d43f7f0,"industry,",44.0,1396.0,2.0,7225.0,37
1054,87a71ae93900ab55fcf685c8040769b3,electronics,36.0,401.0,1.0,175.0,37
1599,dd6a505f83dd3c6326aa9856519e0978,toys,43.0,623.0,5.0,200.0,36
1034,c92f0e7b9d49a9543558d6532772441b,bags,48.0,485.0,5.0,17550.0,36
330,be837f2e0152a208d4386f4126d5bd7c,home,60.0,940.0,2.0,950.0,36
1622,fb7a100ec8c7b34f60cec22b1a9a10e0,toys,58.0,321.0,2.0,150.0,36
167,e5eadf9be70a4a9fa514019542fc330a,home,48.0,543.0,2.0,1200.0,36
852,87283a98b24f9f1ac3a31b631073cf47,fashion,50.0,411.0,5.0,150.0,36
886,380b4664ba5bb18cc9db78ee6bac3558,gifts,44.0,322.0,4.0,250.0,36
888,186fe07c8b8005ec6a498587ffbc1352,gifts,60.0,193.0,3.0,200.0,36
615,4cd6ba4ea3112de8fc238307c4dc6307,bed,43.0,506.0,3.0,1000.0,36
1388,41db6d8062fcd38410c699743ccc0265,telephony,49.0,1438.0,2.0,125.0,36
870,94475071013412139f862c0bd7e3bb37,stationery,46.0,708.0,3.0,317.0,36
1512,a237de12bdf0bfe4fe220bae65a89731,decoration,57.0,954.0,7.0,1250.0,36
808,909b87db6cb3a7ab26bd03cc59860136,computer,28.0,1111.0,1.0,169.0,36
1395,4ce9ab528124f89e091b17d11aa2e97c,computer,54.0,222.0,3.0,500.0,35
1583,6cc44821f36f3156c782da72dd634e47,bed,55.0,273.0,1.0,1050.0,35
1013,0cf41187284d7f099adc8415a743ebbd,babies,60.0,644.0,1.0,300.0,35
748,f646af315b0f3a597f69213537ca2199,decoration,55.0,928.0,1.0,600.0,35
1337,1dec4c88c685d5a07bf01dcb0f8bf9f8,automotive,44.0,982.0,3.0,17600.0,35
246,cb81df0e3ccece253557f2a07df4727e,sport,25.0,469.0,1.0,225.0,35
1357,16679d68bdbed3fb97af806424d7f2b7,beauty,60.0,2936.0,1.0,83.0,35
